"Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla_ugL","Flag_Pheo_ugL"
"BVR",50,2023-03-21 12:00:00,1.6,3.09312,0.866073599999999,1,1
"FCR",50,2023-04-04 12:00:00,1.6,1.1456,0.779008000000001,1,1
"BVR",50,2023-04-13 12:00:00,NA,NA,NA,2,2
"FCR",50,2023-04-18 12:00:00,1.6,1.7184,1.168512,0,0
"BVR",50,2023-05-01 12:00:00,1.6,0.763733333333333,0.198570666666667,1,4
"FCR",50,2023-05-01 12:00:00,1.6,6.0144,1.20288,0,0
"FCR",50,2023-05-22 12:00:00,1.6,12.71616,0.893567999999997,0,0
"BVR",50,2023-05-22 12:00:00,1.6,2.06208,0.412416,0,0
"FCR",50,2023-05-29 12:00:00,1.6,19.4752,0.733184000000002,0,0
"BVR",50,2023-05-29 12:00:00,1.6,3.24586666666667,0.603349333333334,0,0
"FCR",50,2023-06-05 12:00:00,1.6,33.33696,0,0,4
"BVR",50,2023-06-05 12:00:00,1.6,1.7184,0.446784000000001,5,5
"FCR",50,2023-06-14 12:00:00,1.6,61.2896,0,0,4
"BVR",50,2023-06-14 12:00:00,1.6,1.80884210526316,0.0144707368421047,1,4
"BVR",50,2023-06-19 12:00:00,1.6,1.7184,0.3849216,1,1
"FCR",50,2023-06-19 12:00:00,1.6,77.9008,0,0,4
"BVR",50,2023-06-26 12:00:00,1.6,0.327314285714286,0.144018285714286,1,4
"FCR",50,2023-06-26 12:00:00,1.6,52.8408,0,0,4
"BVR",50,2023-07-03 12:00:00,1.6,1.37472,0.3574272,1,1
"FCR",50,2023-07-03 12:00:00,1.6,80.192,0,0,4
"BVR",50,2023-07-10 12:00:00,1.6,1.54656,0.4330368,1,1
"FCR",50,2023-07-10 12:00:00,1.6,54.9888,0.687360000000004,0,0
"FCR",50,2023-07-17 12:00:00,1.6,12.888,2.268288,5,5
"BVR",50,2023-07-17 12:00:00,1.6,2.864,0.22912,1,4
"FCR",50,2023-07-24 12:00:00,1.6,8.21013333333334,1.41290666666666,0,0
"BVR",50,2023-07-24 12:00:00,1.6,5.1552,1.03104,0,0
"BVR",50,2023-07-31 12:00:00,1.6,5.7996,0.541295999999996,0,0
"FCR",50,2023-07-31 12:00:00,1.6,13.2562285714286,1.237248,0,0
"BVR",50,2023-08-07 12:00:00,1.6,14.43456,0.907315200000006,0,0
"FCR",50,2023-08-07 12:00:00,1.6,22.68288,2.55697919999999,0,0
"BVR",50,2023-08-14 12:00:00,1.6,15.036,1.873056,5,5
"FCR",50,2023-08-14 12:00:00,1.6,19.58976,1.9383552,0,0
"FCR",50,2023-08-22 12:00:00,1.6,13.1744,0.641536000000002,0,0
"BVR",50,2023-08-22 12:00:00,1.6,12.5197714285714,2.15045485714285,0,0
"FCR",50,2023-08-29 12:00:00,1.6,20.1298285714286,5.32213028571428,0,0
"BVR",50,2023-08-29 12:00:00,1.6,13.7472,4.502208,5,5
"BVR",50,2023-09-05 12:00:00,1.6,9.0216,1.80432,0,0
"FCR",50,2023-09-05 12:00:00,1.6,3.92777142857143,1.02122057142857,0,0
"BVR",50,2023-09-12 12:00:00,1.6,8.592,1.924608,0,0
"FCR",50,2023-09-12 12:00:00,1.6,20.8662857142857,2.46467657142858,0,0
"BVR",50,2023-09-18 12:00:00,1.6,16.2020571428571,1.82641371428571,0,0
"FCR",50,2023-09-18 12:00:00,1.6,16.9385142857143,4.97845028571428,0,0
"FCR",50,2023-09-25 12:00:00,NA,NA,NA,2,2
"BVR",50,2023-09-26 12:00:00,1.6,15.6677647058824,3.47318964705882,5,5
"FCR",50,2023-10-03 12:00:00,1.6,12.0288,2.508864,0,0
"BVR",50,2023-10-03 12:00:00,1.6,6.62811428571429,1.32562285714286,0,0
"BVR",50,2023-10-09 12:00:00,1.6,10.8832,1.592384,5,5
"FCR",50,2023-10-09 12:00:00,1.6,11.456,3.04729599999999,5,5
"BVR",50,2023-10-17 12:00:00,1.6,11.7424,1.454912,0,0
"FCR",50,2023-10-17 12:00:00,1.6,13.91904,2.4126336,0,0
"BVR",50,2023-10-24 12:00:00,1.6,10.3104,1.649664,0,0
"FCR",50,2023-10-24 12:00:00,1.6,23.2938666666667,3.92558933333333,5,5
"BVR",50,2023-10-31 12:00:00,1.6,20.9072,1.77568,0,0
"FCR",50,2023-10-31 12:00:00,1.6,60.144,3.41961600000001,0,0
"BVR",50,2023-11-06 12:00:00,1.6,18.3296,1.26016,5,5
"FCR",50,2023-11-06 12:00:00,1.6,38.5412571428571,3.52517485714285,0,0
"FCR",50,2023-11-14 12:00:00,1.6,37.8048,3.73138285714284,0,0
"BVR",50,2023-11-14 12:00:00,1.6,16.6930285714286,2.04244114285714,5,5
"BVR",50,2023-12-04 12:00:00,1.6,39.5232,0.811084799999991,0,0
"FCR",50,2023-12-04 12:00:00,1.6,24.9168,3.9110784,0,0
